#HDNum,CommonName,RA,Dec,Mag,ColorIndex
215182,,22.71670238,+30.22130866,2.93,0.852
215665,,22.77551177,+23.56567939,3.97,1.070
215789,,22.80922142,-51.31670354,3.49,0.083
216228,,22.82803115,+66.20071089,3.50,1.053
216131,,22.8333612,+24.60168486,3.51,0.933
216386,,22.87690679,-07.57967878,3.73,1.626
216627,,22.91084423,-15.82075994,3.27,0.066
216956,Fomalhaut,22.96078488,-29.62183701,1.17,0.145
217675,,23.03201291,+42.32597866,3.62,-0.099
217906,Scheat,23.06287038,+28.08245462,2.44,1.655
218045,Markab,23.07933801,+15.20536786,2.49,-0.002
218594,,23.15743391,-21.17248555,3.68,1.202
218670,,23.17261887,-45.24664747,3.88,0.998
219615,,23.28597045,+03.28224524,3.70,0.916
219571,,23.29050334,-58.23592762,3.99,0.410
220321,,23.38286152,-20.10034505,3.96,1.082
222107,,23.62602991,+46.45917621,3.81,0.984
222404,,23.65582834,+77.63196681,3.21,1.031
